student_id,event_type,registration_days_before,previous_events_registered,previous_events_attended,club_member,event_day,event_time,travel_distance_km,attended
S1266,Competition,2,3,2,1.0,Thursday,14.0,9.5,1
S1415,Talk,13,5,2,0.0,Friday,9.0,3.1,1
S1145,Hackathon,1,1,1,1.0,Monday,11.0,1.3,0
S1375,Workshop,6,5,4,1.0,Monday,9.0,12.7,1
S1441,Workshop,9,5,2,1.0,Sunday,18.0,10.9,1
S1223,Workshop,9,5,4,1.0,Tuesday,18.0,6.3,0
S1226,Workshop,4,3,3,0.0,Saturday,18.0,5.3,1
S1453,Hackathon,10,3,2,1.0,Tuesday,16.0,4.4,1
S1142,Workshop,4,4,2,1.0,Saturday,16.0,10.0,0
S1371,Workshop,9,5,2,1.0,Tuesday,11.0,8.1,1
S1068,Competition,7,4,4,1.0,Wednesday,14.0,3.3,1
S1219,Talk,1,2,2,0.0,Sunday,18.0,1.1,1
S1169,Workshop,13,2,1,0.0,Wednesday,11.0,8.2,1
S1425,Workshop,4,4,2,1.0,Monday,14.0,9.1,1
S1382,Competition,7,3,3,1.0,Sunday,9.0,7.4,0
S1221,Talk,7,6,1,1.0,Saturday,14.0,7.6,1
S1194,Talk,7,2,2,1.0,Monday,14.0,1.9,1
S1272,Competition,3,8,7,1.0,Sunday,11.0,9.1,1
S1110,Workshop,11,4,3,1.0,Saturday,18.0,8.9,1
S1358,Talk,2,5,4,0.0,Sunday,9.0,12.8,0
S1146,Workshop,0,1,1,1.0,Thursday,14.0,5.6,1
S1093,Competition,7,5,4,1.0,Tuesday,18.0,4.0,0
S1153,Workshop,1,3,3,0.0,Friday,14.0,6.1,1
S1228,Hackathon,3,2,1,0.0,Friday,16.0,1.8,0
S1239,Talk,14,4,3,1.0,Sunday,14.0,2.5,1
S1084,Workshop,6,0,0,1.0,Sunday,14.0,13.9,0
S1166,Competition,12,3,1,0.0,Thursday,9.0,5.0,1
S1164,Talk,14,2,1,1.0,Wednesday,14.0,3.7,1
S1200,Competition,10,4,3,1.0,Tuesday,18.0,10.6,1
S1341,Talk,12,5,4,1.0,Tuesday,14.0,6.2,1
S1075,Competition,11,6,5,0.0,Wednesday,14.0,12.8,1
S1313,Workshop,10,2,1,1.0,Sunday,11.0,1.7,1
S1245,Workshop,14,1,1,1.0,Wednesday,14.0,16.4,1
S1478,Talk,6,6,4,0.0,Friday,11.0,2.4,1
S1120,Talk,4,5,2,1.0,Tuesday,16.0,5.5,1
S1457,Workshop,6,4,2,0.0,Friday,16.0,5.5,1
S1413,Social,0,6,5,1.0,Friday,14.0,3.8,1
S1263,Workshop,5,5,3,0.0,Friday,16.0,2.7,1
S1359,Social,10,0,0,1.0,Thursday,18.0,8.3,1
S1406,Social,11,5,3,1.0,Wednesday,18.0,5.7,1
S1306,Social,14,9,7,1.0,Saturday,16.0,1.1,1
S1423,Workshop,12,2,2,1.0,Friday,9.0,4.2,1
S1332,Competition,7,4,3,1.0,Tuesday,14.0,1.9,0
S1389,Competition,13,2,1,0.0,Friday,11.0,3.1,1
S1278,Talk,6,2,2,0.0,Monday,9.0,0.5,0
S1037,Hackathon,13,3,2,0.0,Tuesday,11.0,3.5,0
S1197,Competition,11,5,4,1.0,Friday,11.0,4.8,1
S1140,Social,2,4,3,1.0,Friday,18.0,4.5,0
S1370,Workshop,8,4,3,1.0,Thursday,11.0,4.3,1
S1474,Social,3,3,2,0.0,Thursday,16.0,5.5,1
S1381,Workshop,5,7,4,1.0,Wednesday,18.0,5.5,1
S1290,Talk,1,4,3,0.0,Friday,11.0,2.3,1
S1060,Hackathon,3,6,3,1.0,Wednesday,11.0,3.0,1
S1112,Workshop,4,2,1,0.0,Wednesday,16.0,4.4,1
S1090,Talk,7,6,5,0.0,Saturday,9.0,4.6,0
S1297,Competition,11,3,1,1.0,Friday,9.0,25.0,1
S1007,Workshop,12,5,3,1.0,Thursday,14.0,6.5,1
S1366,Hackathon,4,5,2,0.0,Tuesday,16.0,21.5,0
S1350,Talk,11,5,5,0.0,Sunday,9.0,3.1,0
S1343,Workshop,9,5,3,1.0,Thursday,18.0,10.2,1
S1159,Workshop,3,7,7,1.0,Sunday,14.0,13.7,0
S1151,Social,10,7,5,0.0,Friday,18.0,12.7,1
S1178,Hackathon,7,5,4,1.0,Friday,14.0,3.4,1
S1400,Competition,13,6,4,0.0,Wednesday,9.0,10.5,1
S1185,Workshop,7,3,2,0.0,Friday,18.0,7.1,1
S1287,Talk,9,4,3,0.0,Tuesday,16.0,4.1,1
S1011,Workshop,9,3,2,1.0,Friday,16.0,10.0,1
S1387,Hackathon,13,5,4,0.0,Sunday,16.0,6.6,1
S1104,Talk,2,8,6,1.0,Sunday,16.0,10.5,0
S1082,Talk,1,5,5,1.0,Tuesday,16.0,11.6,0
S1039,Competition,4,5,2,1.0,Monday,14.0,3.5,0
S1319,Workshop,13,2,2,0.0,Thursday,18.0,5.2,1
S1199,Social,8,3,2,0.0,Monday,18.0,3.8,0
S1262,Social,6,3,2,1.0,Monday,14.0,7.1,0
S1147,Talk,7,6,2,1.0,Thursday,14.0,3.1,0
S1399,Competition,0,2,1,1.0,Thursday,11.0,1.9,1
S1148,Talk,2,2,2,1.0,Friday,16.0,9.1,0
S1291,Workshop,8,9,8,0.0,Saturday,18.0,10.8,0
S1124,Workshop,7,9,1,1.0,Wednesday,18.0,1.9,0
S1374,Competition,7,7,4,1.0,Thursday,18.0,9.2,1
S1097,Talk,1,3,2,1.0,Thursday,18.0,5.6,0
S1144,Hackathon,9,4,3,1.0,Tuesday,14.0,5.6,0
S1240,Workshop,9,4,2,1.0,Thursday,14.0,1.0,1
S1479,Social,3,5,4,1.0,Wednesday,11.0,6.2,1
S1098,Hackathon,6,6,4,0.0,Friday,18.0,2.9,1
S1355,Workshop,14,5,2,1.0,Friday,9.0,9.1,1
S1123,Hackathon,14,6,4,1.0,Sunday,11.0,5.4,1
S1184,Social,7,4,4,1.0,Saturday,9.0,6.0,1
S1203,Workshop,11,6,5,0.0,Monday,14.0,6.7,1
S1247,Hackathon,11,5,3,1.0,Sunday,16.0,2.2,1
S1422,Competition,0,4,3,0.0,Monday,14.0,10.1,0
S1303,Talk,10,5,4,1.0,Wednesday,16.0,12.4,1
S1356,Talk,7,4,3,0.0,Saturday,18.0,4.5,1
S1305,Competition,9,0,0,1.0,Saturday,18.0,2.2,1
S1435,Workshop,0,5,3,1.0,Sunday,18.0,2.3,1
S1288,Talk,8,3,2,1.0,Wednesday,9.0,7.8,1
S1126,Hackathon,4,7,5,0.0,Sunday,16.0,11.5,0
S1455,Workshop,5,4,2,1.0,Sunday,18.0,1.1,1
S1224,Hackathon,5,4,2,0.0,Thursday,18.0,7.3,0
S1220,Competition,11,8,7,0.0,Sunday,16.0,4.9,0
S1130,Talk,1,2,1,0.0,Saturday,18.0,9.7,1
S1427,Hackathon,4,4,4,1.0,Saturday,11.0,5.5,0
S1403,Talk,5,3,2,1.0,Saturday,14.0,4.6,1
S1333,Workshop,11,5,4,1.0,Sunday,16.0,4.5,1
S1408,Workshop,1,4,3,0.0,Friday,18.0,5.0,0
S1477,Workshop,10,4,3,0.0,Tuesday,16.0,7.1,0
S1299,Talk,2,7,3,1.0,Saturday,11.0,13.2,1
S1295,Workshop,3,7,6,0.0,Friday,18.0,9.2,1
S1372,Workshop,1,5,4,0.0,Friday,14.0,2.8,0
S1391,Social,1,6,5,1.0,Thursday,9.0,0.9,1
S1113,Social,6,3,3,0.0,Wednesday,18.0,4.9,1
S1180,Workshop,7,3,2,0.0,Tuesday,18.0,1.2,1
S1312,Workshop,4,2,2,1.0,Wednesday,18.0,2.5,1
S1437,Workshop,8,3,2,1.0,Monday,18.0,10.7,1
S1335,Workshop,10,2,2,1.0,Tuesday,9.0,1.4,1
S1490,Social,6,5,5,1.0,Sunday,18.0,10.2,0
S1365,Social,7,4,3,1.0,Tuesday,18.0,25.0,1
S1234,Talk,1,4,4,1.0,Wednesday,16.0,5.0,1
S1447,Social,11,1,1,1.0,Wednesday,18.0,2.0,0
S1165,Workshop,6,2,1,1.0,Saturday,16.0,4.2,1
S1137,Talk,7,5,3,1.0,Wednesday,18.0,16.5,1
S1198,Social,11,3,2,0.0,Saturday,18.0,1.2,1
S1259,Talk,1,3,2,0.0,Saturday,14.0,4.9,1
S1233,Talk,0,2,1,0.0,Sunday,9.0,2.9,0
S1116,Social,11,4,3,0.0,Thursday,11.0,4.1,0
S1121,Competition,9,1,1,1.0,Tuesday,16.0,5.3,1
S1354,Workshop,11,3,2,1.0,Saturday,18.0,8.4,1
S1225,Workshop,12,1,1,0.0,Saturday,16.0,5.5,1
S1409,Social,14,2,2,0.0,Saturday,18.0,13.0,1
S1342,Talk,0,6,4,1.0,Saturday,9.0,18.1,0
S1128,Social,3,1,0,1.0,Thursday,16.0,3.9,1
S1286,Workshop,2,6,3,1.0,Tuesday,14.0,2.3,1
S1418,Hackathon,12,4,2,1.0,Saturday,16.0,8.7,0
S1108,Competition,14,2,1,0.0,Friday,16.0,7.0,0
S1376,Hackathon,2,3,2,0.0,Sunday,16.0,5.8,0
S1330,Workshop,10,3,3,1.0,Saturday,18.0,5.5,1
S1134,Hackathon,3,4,3,1.0,Saturday,14.0,8.1,0
S1369,Workshop,7,3,3,1.0,Tuesday,11.0,9.7,1
S1045,Workshop,3,5,4,0.0,Monday,14.0,0.6,1
S1469,Workshop,13,4,3,0.0,Friday,18.0,7.4,1
S1066,Talk,14,4,1,1.0,Tuesday,16.0,3.2,1
S1284,Workshop,1,2,2,0.0,Saturday,9.0,7.8,0
S1086,Hackathon,9,4,2,0.0,Tuesday,14.0,11.1,1
S1243,Social,1,4,3,1.0,Tuesday,11.0,8.8,0
S1187,Competition,1,3,2,1.0,Monday,18.0,9.1,1
S1426,Talk,9,0,0,1.0,Tuesday,18.0,0.8,1
S1160,Competition,11,1,1,0.0,Monday,18.0,2.0,0
S1013,Competition,6,4,2,0.0,Wednesday,18.0,8.9,0
S1036,Competition,1,5,4,0.0,Friday,14.0,10.5,0
S1029,Talk,12,5,2,1.0,Monday,18.0,11.7,1
S1171,Talk,13,4,2,0.0,Wednesday,11.0,9.9,1
S1143,Talk,4,1,1,0.0,Monday,18.0,6.7,0
S1405,Hackathon,10,1,1,1.0,Friday,18.0,9.8,1
S1347,Talk,7,4,3,1.0,Thursday,16.0,4.5,1
S1222,Talk,7,3,2,1.0,Saturday,9.0,1.9,1
S1096,Talk,4,4,2,1.0,Saturday,18.0,2.1,1
S1052,Competition,11,5,1,1.0,Sunday,9.0,3.4,0
S1241,Social,8,6,2,1.0,Friday,11.0,6.9,1
S1378,Workshop,6,4,2,1.0,Monday,18.0,1.8,1
S1385,Competition,2,4,1,1.0,Wednesday,18.0,5.1,0
S1179,Social,5,2,1,1.0,Friday,14.0,5.9,1
S1042,Talk,11,5,2,1.0,Wednesday,18.0,0.5,1
S1443,Hackathon,0,2,2,1.0,Saturday,9.0,1.7,1
S1394,Competition,10,10,8,1.0,Saturday,9.0,3.0,1
S1207,Workshop,1,4,4,1.0,Wednesday,16.0,25.0,0
S1283,Workshop,13,4,3,1.0,Friday,14.0,6.0,1
S1255,Workshop,1,0,0,0.0,Monday,14.0,5.5,1
S1419,Talk,8,8,4,1.0,Tuesday,14.0,1.5,1
S1005,Workshop,14,8,6,1.0,Monday,18.0,6.9,1
S1257,Social,7,2,2,1.0,Saturday,14.0,1.9,0
S1456,Workshop,3,4,4,1.0,Sunday,16.0,5.3,1
S1101,Workshop,13,4,3,1.0,Wednesday,11.0,4.2,0
S1227,Social,7,4,1,1.0,Tuesday,16.0,12.0,0
S1434,Workshop,12,1,1,0.0,Sunday,14.0,5.0,0
S1214,Workshop,9,1,1,1.0,Monday,9.0,9.9,1
S1429,Hackathon,9,6,2,0.0,Wednesday,11.0,5.5,0
S1172,Workshop,11,6,5,1.0,Friday,16.0,1.0,1
S1099,Workshop,13,4,3,1.0,Saturday,14.0,9.8,1
S1293,Competition,9,3,2,0.0,Monday,16.0,6.7,1
S1216,Workshop,10,5,4,1.0,Friday,14.0,15.0,1
S1062,Workshop,6,3,1,0.0,Sunday,11.0,16.7,1
S1048,Talk,5,6,3,1.0,Wednesday,14.0,1.6,0
S1033,Workshop,8,5,4,1.0,Sunday,11.0,2.8,1
S1268,Competition,14,4,2,0.0,Wednesday,14.0,1.2,1
S1328,Talk,5,2,1,0.0,Saturday,14.0,16.2,1
S1201,Talk,11,2,1,1.0,Monday,11.0,3.3,1
S1454,Social,13,3,2,0.0,Thursday,11.0,3.9,0
S1028,Talk,7,4,0,1.0,Sunday,18.0,18.4,0
S1396,Social,6,5,3,1.0,Wednesday,9.0,2.8,0
S1231,Competition,4,5,4,1.0,Wednesday,16.0,6.7,1
S1261,Talk,8,3,2,1.0,Monday,18.0,6.5,1
S1379,Competition,14,6,4,1.0,Monday,18.0,3.3,1
S1289,Hackathon,2,3,2,1.0,Wednesday,14.0,6.3,0
S1163,Talk,1,4,3,1.0,Sunday,14.0,6.2,1
S1432,Competition,2,5,3,0.0,Monday,9.0,11.1,0
S1139,Hackathon,8,6,5,1.0,Friday,18.0,1.1,1
S1063,Competition,2,4,1,1.0,Friday,14.0,9.9,0
S1136,Hackathon,13,3,3,1.0,Tuesday,14.0,4.1,1
S1129,Workshop,11,1,1,1.0,Monday,14.0,10.5,1
S1485,Talk,7,2,1,1.0,Sunday,11.0,5.3,0
S1009,Talk,8,1,1,1.0,Saturday,14.0,1.7,1
S1327,Talk,11,8,7,1.0,Saturday,11.0,6.3,0
S1472,Social,2,4,1,0.0,Monday,14.0,2.8,0
S1065,Hackathon,14,5,4,1.0,Friday,14.0,6.1,1
S1301,Workshop,7,6,3,1.0,Thursday,18.0,4.3,1
S1015,Workshop,14,5,5,1.0,Saturday,11.0,2.5,1
S1157,Talk,2,2,1,0.0,Wednesday,16.0,3.1,0
S1041,Workshop,8,4,3,1.0,Wednesday,11.0,4.5,1
S1380,Hackathon,4,5,4,0.0,Monday,14.0,5.1,0
S1468,Social,12,3,2,1.0,Friday,11.0,4.0,1
S1410,Workshop,11,7,4,0.0,Thursday,11.0,20.4,0
S1217,Hackathon,1,6,3,0.0,Thursday,18.0,2.8,0
S1280,Competition,6,5,1,0.0,Wednesday,14.0,0.8,0
S1442,Social,8,6,4,1.0,Tuesday,18.0,1.9,1
S1438,Competition,14,5,4,1.0,Monday,18.0,8.8,1
S1338,Competition,8,3,3,1.0,Thursday,14.0,3.5,1
S1237,Hackathon,6,6,3,0.0,Saturday,18.0,8.4,1
S1208,Talk,10,5,3,1.0,Sunday,16.0,3.6,1
S1213,Talk,12,6,3,1.0,Monday,18.0,6.8,1
S1296,Talk,13,6,5,1.0,Saturday,9.0,3.3,1
S1465,Social,7,2,1,1.0,Saturday,14.0,16.4,1
S1252,Hackathon,14,5,1,0.0,Tuesday,16.0,2.7,1
S1497,Talk,13,3,2,0.0,Friday,11.0,3.1,1
S1466,Hackathon,5,6,3,0.0,Monday,9.0,2.3,0
S1304,Talk,7,1,1,1.0,Saturday,18.0,5.6,1
S1351,Talk,0,7,3,1.0,Monday,16.0,3.8,0
S1270,Hackathon,9,2,1,0.0,Friday,18.0,5.5,1
S1202,Workshop,7,6,4,0.0,Sunday,16.0,0.9,0
S1162,Talk,1,6,5,0.0,Sunday,9.0,6.9,0
S1044,Social,7,6,3,0.0,Friday,9.0,8.5,0
S1218,Competition,13,4,3,1.0,Sunday,18.0,4.4,1
S1402,Social,7,3,3,0.0,Monday,18.0,2.9,0
S1310,Workshop,14,3,1,1.0,Sunday,9.0,3.7,1
S1260,Workshop,11,5,3,1.0,Thursday,16.0,5.0,1
